Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
N99 Other disorders of the genitourinary system,2820,1011,597,2005,102.0,57.0,6.4,4.0,53,138,1610,896.0,491,663,13550.523479452055,2000
O00-O08 Pregnancy with abortive outcome,165219,0,68258,77823,6.0,5.0,1.1,1.0,30,517,144315,6.0,4355,76616,93991.99979452055,2000
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",866294,0,63333,21005,12.0,2.0,2.0,1.0,28,555,879024,14.0,1426,18930,1638645.4673424657,2000
O80-O84 Delivery,102940,0,389,743,18.0,2.0,2.1,1.0,28,62,103549,2.0,119,21,201063.74342465756,2000
P00-P04 Complications of fetus/neonate affected by maternal,11391,6274,97,5,1.0,1.0,3.0,2.0,0,12058,19,0.0,6,1,30454.677808219178,2000
P05- P96 Other conditions originating in the perinatal period,145093,92205,16009,1769,99.0,55.0,6.7,3.0,0,166468,232,3.0,109,1406,904187.7249041096,2000
Q00-Q89 Congenital malformations,88809,54961,8547,53026,134.0,80.0,4.4,2.0,11,74118,18360,2101.0,1194,26182,263260.66301369865,2000
Q90-Q99 Chromosomal abnormalities nec.,1405,890,203,519,58.0,19.0,14.5,3.0,13,1117,417,22.0,4,260,11476.329479452053,2000
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,274416,166130,222821,38167,80.0,36.0,3.2,1.0,54,24391,137706,87770.0,65787,30012,752343.1546438355,2000
R10-R19 Symptoms & signs inv. the digestive system & abdomen,323089,124574,195959,88834,56.0,34.0,3.5,2.0,44,36442,208200,61423.0,49035,95556,786730.4688082192,2000
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,26798,12893,16457,8446,74.0,36.0,2.2,1.0,34,9407,12365,3875.0,2621,6142,45145.88428767123,2000
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,19521,9886,8708,2646,43.0,19.0,23.3,9.0,52,5471,4175,3782.0,12720,1361,407889.6540273973,2000
R30-R39 Symptoms & signs involving the urinary system,119560,88561,33075,70835,56.0,35.0,4.9,3.0,61,3074,45891,40716.0,38477,72330,222833.5595342466,2000
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",30407,16503,26379,1927,49.0,25.0,11.2,4.0,68,1007,8259,8345.0,20401,1434,295681.1941643836,2000
R47-R49 Symptoms & signs inv. speech & voice,7106,3818,1600,5056,38.0,23.0,7.9,2.0,57,361,3360,2358.0,1731,3109,28736.93884931507,2000
R50-R68 General symptoms & signs,201655,107356,163795,23919,44.0,19.0,6.8,2.0,49,44246,72991,36860.0,80796,17857,1164913.436630137,2000
R69 Unknown & unspecified causes of morbidity,296268,137803,124656,78681,84.0,33.0,20.9,3.0,48,39227,151624,60216.0,80316,54028,3072035.6206438355,2000
R70-R89 Abnormal findings of bodily fluids or samples without diag.,30096,7173,2486,21181,45.0,29.0,3.4,1.0,44,438,22957,5048.0,2207,24747,17327.860602739725,2000
R90-R94 Abnormal findings on diagnostic imaging/function studies,20308,12182,3111,12875,26.0,8.0,4.5,2.0,60,660,8224,8467.0,4876,12216,36551.815315068496,2000
R95-R99 Ill-defined & unknown causes of mortality,109,54,91,3,155.0,46.0,10.4,3.0,66,14,18,29.0,64,0,1035.8645753424657,2000
S00-S09 Injuries to the head,112978,81182,93800,13304,15.0,4.0,3.2,1.0,33,33961,62629,7588.0,16079,9069,320899.60305479454,2000
S10-S19 Injuries to the neck,5652,3873,4947,200,48.0,17.0,10.2,2.0,39,664,4207,578.0,768,58,49879.10171232877,2000
S20-S29 Injuries to the thorax,12594,9163,11963,125,43.0,10.0,8.0,3.0,52,443,8031,2412.0,3762,28,98160.28043835617,2000
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",21935,12204,19991,457,50.0,14.0,11.6,5.0,51,2943,10976,2679.0,9002,140,246586.54553424657,2000
S40-S49 Injuries to the shoulder & upper arm,24094,12678,21574,1537,50.0,6.0,7.9,2.0,48,5699,8600,3814.0,8815,163,185403.1645890411,2000
S50-S59 Injuries to the elbow & forearm,56289,30358,51433,3118,14.0,2.0,3.1,1.0,35,22624,20678,7010.0,8812,960,173147.11717808218,2000
S60-S69 Injuries to the wrist & hand,59381,46440,50938,5063,30.0,3.0,1.6,1.0,32,9399,45927,3632.0,2539,2560,91435.7216849315,2000
S70-S79 Injuries to the hip & thigh,69769,22262,64859,1182,42.0,2.0,21.6,14.0,75,2913,7484,12700.0,59466,62,1452098.8372602742,2000
S80-S89 Injuries to the knee & lower leg,59739,34521,52811,4660,78.0,21.0,8.3,4.0,45,7541,36225,9001.0,11860,1866,476316.3113972603,2000
S90-S99 Injuries to the ankle & foot,10703,7035,9520,687,60.0,10.0,5.5,2.0,39,1942,6905,1296.0,1406,264,57687.35439726027,2000
T00-T07 Injuries involving multiple body regions,1493,958,1371,27,62.0,7.0,9.7,2.0,42,282,873,165.0,362,3,14026.888726027397,2000
T08-T14 Injuries to unspecified part of trunk limb or body,4613,2724,4017,352,69.0,19.0,6.3,1.0,46,843,2266,604.0,1450,206,27622.08478082192,2000
T15-T19 Effects of foreign body entering through natural orifice,11351,6523,8288,2382,18.0,5.0,1.2,1.0,25,6239,3769,969.0,859,1957,10916.020356164385,2000
T20-T32 Burns and corrosions,8636,5880,6895,421,16.0,4.0,6.6,2.0,26,4005,3888,516.0,730,101,55939.45904109589,2000
T33-T35 Frostbite,36,31,27,7,87.0,24.0,16.1,8.0,42,0,33,3.0,6,0,562.8276301369864,2000
T36-T50 Poisonings by drugs medicaments & biological substances,81635,39860,80431,183,32.0,6.0,1.8,1.0,32,8523,75213,3771.0,3623,71,144314.51861643835,2000
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,7400,4640,7024,86,38.0,35.0,1.8,1.0,29,2754,4175,625.0,493,206,12932.222493150684,2000
T66-T78 Other and unspecified effects of external causes,7967,4402,6450,1065,43.0,26.0,3.1,1.0,32,3086,3642,852.0,1019,1039,20660.030109589043,2000
T79 Certain early complications of trauma,2772,2097,2282,357,105.0,44.0,6.1,3.0,40,349,2131,351.0,343,113,15808.157726027397,2000
T80-T88 Complications of surgical & medical care nec.,105535,59877,61353,35677,98.0,41.0,8.6,4.0,54,7612,51039,32614.0,28045,11241,794978.1969726027,2000
T90-T98 Sequelae of injuriesof poisoning & other consequences,1458,921,306,897,139.0,80.0,10.4,2.0,43,174,1004,156.0,274,378,10667.478767123286,2000
Z00-Z13 Examination and investigation,210321,115426,14482,93540,92.0,45.0,7.8,1.0,53,23567,81467,62977.0,45337,162542,209590.43828767125,2000
Z20-Z29 Potential health hazards related to communicable diseases,6783,3729,501,2187,23.0,14.0,1.7,1.0,11,5506,644,227.0,309,3049,4942.280506849315,2000
Z30-Z39 Health services in circumstances related to reproduction,528582,212141,7874,77180,106.0,71.0,1.8,1.0,10,360122,176232,100.0,961,75918,757548.7136438356,2000
Z40-Z54 Persons encountering health services for specific care,142078,83834,14121,87179,82.0,34.0,14.3,3.0,51,18067,65314,34564.0,40675,56723,1054592.7803424657,2000
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,1223,577,815,219,16.0,7.0,22.3,3.0,42,333,460,157.0,459,184,16449.676273972604,2000
Z70-Z76 Persons encountering health services in other circs.,66190,34112,12955,15179,37.0,4.0,11.6,4.0,44,24225,20129,9379.0,19984,2516,634665.2991780821,2000
Z80-Z99 Persons with potential health hazards related to family,16115,7853,1198,8045,98.0,50.0,10.3,3.0,47,2713,7648,3968.0,2802,10709,49645.0701780822,2000
A00-A09 Intestinal infectious diseases,35722,19165,31208,3103,70.0,42.0,3.7,1.0,21,23422,8024,3236.0,4278,3692,114486.9698630137,2001
A15-A19 Tuberculosis,3523,2700,2297,818,20.0,8.0,17.3,10.0,44,226,3162,893.0,550,404,55750.98453424657,2001
A20-A49 Certain bacterial diseases,17200,11458,15107,603,28.0,7.0,13.3,7.0,48,5147,5333,4531.0,8071,304,212724.24569863017,2001
A50-A64 Infections with predominantly sexual mode of transmission,3193,1231,596,2166,76.0,47.0,3.6,2.0,36,85,2487,167.0,124,1944,4252.135479452055,2001
A65-A79 Other infectious and parasitic disorders,305,153,134,85,54.0,20.0,7.6,3.0,36,42,254,27.0,12,136,984.91298630137,2001
A80-A89 Viral infections of the central nervous system,4024,2384,3776,85,20.0,8.0,8.3,3.0,26,999,3507,188.0,78,36,23030.783698630137,2001
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,26,14,25,1,,,3.4,3.0,32,7,19,2.0,0,0,84.34520547945205,2001
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,11851,6078,7189,3841,58.0,35.0,5.6,2.0,35,4635,4295,1646.0,2134,3917,44678.02020547945,2001
B15-B19 Viral hepatitis,4614,3401,1276,2100,53.0,34.0,5.0,2.0,41,198,4343,495.0,92,1878,13961.75890410959,2001
B20-B24 Human imrnunodeficiency virus [HIV] disease,3229,3241,1472,993,11.0,1.0,11.4,6.0,38,114,3198,97.0,19,1052,28136.940986301368,2001
B25-B34 Other viral diseases,45292,25188,44128,490,33.0,14.0,1.5,1.0,11,34735,11002,861.0,564,487,66664.15260273973,2001
B35-B49 Mycoses,3048,1725,1383,1040,45.0,21.0,7.6,2.0,44,596,1533,795.0,687,1220,13691.058356164382,2001
B50-B64 Protozoal diseases,2558,1903,2237,123,21.0,8.0,4.6,3.0,34,338,2367,193.0,52,99,11512.610630136985,2001
B65-B83 Helminthiases,395,206,227,114,51.0,25.0,4.2,3.0,27,126,261,32.0,10,102,1215.2934246575344,2001
B85-B99 Other infectious and parasitic diseases,1190,637,879,140,26.0,5.0,7.6,3.0,33,530,415,150.0,280,198,7061.082191780822,2001
C00-C14 Malignant neoplasm of liporal cavity and pharynx,11841,8481,1726,6664,19.0,10.0,9.9,4.0,59,230,6172,4469.0,2189,3190,83476.844,2001
C15-C26 Malignant neoplasm of digestive organs,231108,155749,31038,84615,16.0,8.0,11.6,8.0,65,382,69863,123794.0,62101,141279,1043130.6136986301,2001
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,74098,54005,22139,24550,14.0,7.0,9.8,5.0,66,187,22131,42206.0,22035,28273,450299.1483835617,2001
C40-C41 Malignant neoplasm of bone and articular cartilage,4853,2963,976,1740,19.0,6.0,6.9,4.0,29,1407,2844,552.0,261,952,26412.750958904107,2001
C43-C44 Malignant neoplasms of skin,59764,32178,1267,52151,43.0,30.0,5.1,2.0,70,52,13609,20506.0,26226,46178,68074.04843835617,2001
C45-C49 Malignant neoplasms of mesothelial and soft tissue,10607,7170,2418,3772,19.0,8.0,7.8,4.0,53,1168,4582,4051.0,1740,3388,55826.7382739726,2001
C50 Malignant neoplasm of breast,124637,773,7523,51228,16.0,11.0,6.7,4.0,56,1,81693,33058.0,11963,81395,279810.13808219176,2001
C51-C58 Malignant neoplasms of female genital organs,51582,21,6831,20875,18.0,11.0,7.9,4.0,61,106,23412,21474.0,9321,23400,218085.61952054795,2001
C60-C63 Malignant neoplasms of male genital organs,39404,42639,8018,19395,40.0,23.0,8.7,5.0,66,125,8937,17630.0,15967,16301,198226.05328767124,2001
C64-C68 Malignant neoplasms of urinary tract,86880,66717,6916,45510,46.0,27.0,6.7,3.0,70,1608,13500,39548.0,36970,42193,292333.8528082192,2001
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16244,10374,4866,4414,20.0,11.0,11.7,6.0,39,5211,7313,4165.0,1493,5838,120762.1894931507,2001
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",202814,124104,24109,77062,9.0,4.0,9.5,4.0,52,22695,89435,67980.0,31585,150262,489604.81315068493,2001
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",78739,37073,23224,23780,17.0,8.0,10.4,6.0,61,2006,32879,35131.0,19293,30933,498115.84931506857,2001
D00-D48 In situ & benign neoplasms and others of uncertainty,276731,117641,14808,210210,73.0,38.0,5.4,3.0,54,10508,151136,71118.0,53147,191264,452287.661369863,2001
D50-D64 Anaemias,100766,48764,32326,40948,30.0,14.0,7.1,3.0,57,7613,41167,27187.0,42869,54877,326132.1270410959,2001
D65-D89 Diseases of the blood and blood-forming organs,46480,26549,13656,17479,17.0,7.0,5.5,3.0,43,10765,21886,10946.0,5563,27912,99287.98369863012,2001
E00-E07 Disorders of thyroid gland,10183,2044,1927,7209,95.0,57.0,6.2,4.0,51,355,6881,2280.0,1553,1497,53574.58338356164,2001
E10-E14 Diabetes Mellitus,60253,39070,30461,22303,41.0,24.0,10.3,4.0,54,5205,31146,21891.0,14048,23738,362911.95227397257,2001
E15-E90 Endocrine nutritional and metabolic diseases,57713,30378,24389,20370,57.0,20.0,8.8,4.0,46,10697,28846,12597.0,13081,22594,300458.9796164384,2001
F00-F03 Dementia,23377,11190,13016,2660,20.0,3.0,71.6,26.0,80,4,598,5662.0,21385,66,1084772.4430684932,2001
F04-F09 Other organic including symptomatic mental disorders,3817,2178,2949,211,19.0,2.0,39.3,16.0,68,45,1230,856.0,2645,59,115709.33979452054,2001
F10-F19 Mental and behavioural disorders due to psychoactive subst.,36391,27682,28149,4888,33.0,9.0,12.0,5.0,38,2058,34404,3140.0,959,175,395408.9971232877,2001
"F20-F29 Schizophrenia, schizotypal and delusional disorders",31893,21144,24604,1742,14.0,2.0,118.4,33.0,41,58,30528,3735.0,1753,19,1945886.2344657532,2001
F30-F39 Mood [affective] disorders,47605,19387,35974,3068,15.0,3.0,47.6,25.0,51,142,34078,9586.0,8288,963,1802643.7263013697,2001
"F40-F69 Neurotic, bahavioural & personality disorders",26581,11558,18978,3521,69.0,33.0,30.2,9.0,41,734,22876,2984.0,2298,1759,561268.8444109589,2001
F70-F79 Mental retardation,17709,9985,1723,7112,7.0,1.0,193.5,3.0,22,6550,11849,280.0,102,415,361607.90102739725,2001
F80-F99 Other mental and behavioural disorders,10915,6259,4615,1938,33.0,7.0,57.0,8.0,36,2694,6405,1059.0,1418,742,302322.5442739726,2001
G00-G09 Inflammatory diseases of the central nervous system,4005,2732,2823,363,29.0,11.0,13.1,7.0,28,1793,2398,551.0,242,233,48665.48856164383,2001
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11224,7106,5069,4278,46.0,22.0,25.4,13.0,66,325,2869,4481.0,6168,2901,191973.8409041096,2001
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",11682,6264,6078,2438,33.0,10.0,64.1,15.0,71,390,2023,3797.0,8164,522,423914.66543835617,2001
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16126,5716,4025,7202,29.0,11.0,15.3,5.0,45,110,15290,1988.0,398,6382,121634.91586301368,2001
G40-G47 Epilepsymigraine & other episodic disorders,74588,46986,54368,13345,79.0,47.0,6.0,2.0,46,13151,41165,15872.0,17298,2699,356008.2200547945,2001
"G50-G73, G90-G99 Other diseases & disorders of the nervous syst.",73573,30732,9761,55337,108.0,69.0,9.4,2.0,53,3268,45182,17808.0,11603,45604,236959.95273972605,2001
G80-G83 Cerebral palsy & other paralytic syndromes,13264,9656,5226,4303,87.0,45.0,37.4,13.0,47,3311,5497,4244.0,5805,2728,373014.6147260274,2001
H10-H13 Disorders of conjunctiva (including conjunctivitis),4146,2118,998,2902,122.0,80.0,2.0,1.0,44,824,2094,831.0,469,2720,2830.3088630136986,2001
H25-H28 Disorders of lens (including cataracts),255965,92959,1166,239452,183.0,155.0,1.3,1.0,75,486,20779,78974.0,156676,215492,52488.59019178082,2001
H40-H42 Glaucoma,14476,6621,2490,11223,52.0,33.0,2.2,1.0,67,182,3292,5642.0,5469,8647,12683.764767123288,2001
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",112052,54123,17849,88638,100.0,60.0,2.5,1.0,52,16581,41907,27848.0,27177,71444,99417.78191780821,2001
H60-H95 Diseases of the ear and mastoid process,88900,48211,12480,74542,101.0,62.0,1.8,1.0,23,50972,28328,7402.0,3502,48295,70094.81097260273,2001
I00-I09 Rheumatic heart disease,4291,1995,955,2816,117.0,69.0,11.7,8.0,64,83,1406,2600.0,1247,1339,35681.753876712326,2001
I10-I15 Hypertensive diseases,14699,9282,7630,3616,34.0,14.0,7.3,3.0,61,277,6924,5868.0,4869,2767,84729.8898630137,2001
I20-I25 Ischaemic heart diseases,293911,243564,186018,83431,121.0,76.0,6.8,5.0,66,44,104365,165175.0,108752,45548,1706816.3017123286,2001
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,17477,10241,15086,963,28.0,5.0,10.8,8.0,63,113,8383,7883.0,7717,930,186044.6177260274,2001
I30-I52 Other forms of heart disease,198366,138727,144101,38195,84.0,44.0,9.9,6.0,70,1967,44931,86933.0,129573,22223,1730404.200479452,2001
I60-I69 Cerebrovascular diseases,97692,68183,79502,6966,39.0,22.0,26.4,12.0,73,355,20506,43574.0,80076,954,2368443.4986164384,2001
"I70-I79 Diseases of arteries, arterioles & capillaries",64190,47256,19300,37851,48.0,26.0,10.5,4.0,68,348,15167,31880.0,28540,9266,565089.2366438357,2001
I80-I89 Diseases of veins & lymphatic system nec.,138457,68456,37418,89982,156.0,92.0,4.6,2.0,52,3180,91323,35888.0,19890,64378,336075.68909589044,2001
I95-I99 Other & unspecified disorders of the circulatory system,8511,5010,6809,939,34.0,14.0,10.9,6.0,74,54,1446,2945.0,7097,647,87256.27583561644,2001
J00-J06 Acute upper respiratory infections,79239,46139,73789,4410,141.0,90.0,1.4,1.0,9,63819,14700,1449.0,1519,847,105977.62424657533,2001
J10-J18 Influenza & pneumonia,73827,52643,68970,1513,14.0,5.0,13.2,6.0,61,11386,19446,19984.0,50974,878,889717.5211917808,2001
J20-J22 Other acute lower respiratory infections,93767,57496,88767,1490,20.0,6.0,8.0,4.0,44,34303,21134,18929.0,41439,580,724700.8762191781,2001
J30-J39 Other diseases of upper respiratory tract,129587,70045,9746,117149,153.0,98.0,1.4,1.0,31,35340,79159,12477.0,3657,23470,147305.95361643835,2001
J40-J47 Chronic lower respiratory diseases,162495,107351,151084,5120,28.0,8.0,7.8,5.0,55,26992,51524,68812.0,66296,3863,1214062.0715342464,2001
J60-J70 Lung diseases due to external agents,3850,3551,3309,213,19.0,8.0,18.3,10.0,68,220,1162,1517.0,3107,131,66380.57432876712,2001
J80-J99 Other diseases of the respiratory system,42434,32963,27487,8705,22.0,7.0,10.3,6.0,60,2415,17670,18236.0,17532,5230,384062.49682191777,2001
"K00-K14 Diseases of oral cavity, salivary glands & jaws",168682,75815,7551,152448,82.0,47.0,1.7,1.0,30,47715,103124,13586.0,5738,134714,57340.093972602735,2001
K20-K31 Diseases of oesophagusstomach & duodenum,280924,175056,44800,169311,55.0,34.0,7.5,4.0,57,7250,152861,99296.0,73550,222460,487368.8605479452,2001
K35-K38 Diseases of appendix,36084,21362,35012,753,72.0,45.0,4.3,3.0,28,10080,26071,2011.0,790,34,156010.76369863012,2001
K40-K46 Hernia,153507,109371,15577,125623,130.0,76.0,3.2,2.0,54,12793,70637,47313.0,28892,78326,240712.45101369865,2001
K50-K52 Noninfective enteritis & colitis,101776,51975,53052,33125,60.0,35.0,6.4,3.0,42,19391,61028,19531.0,18291,39787,394816.8342328767,2001
K55-K63 Other diseases of intestines,221643,111631,90967,102544,65.0,37.0,6.8,3.0,55,17567,101684,63134.0,65917,101234,808474.1202876712,2001
K65-K67 Diseases of peritoneum,6325,3144,4009,1980,92.0,48.0,11.2,6.0,54,240,4019,1904.0,1957,629,64798.62864383561,2001
K70-K77 Diseases of liver,19660,16214,11950,4881,34.0,17.0,12.4,7.0,53,401,18210,6992.0,2191,3226,210205.0405479452,2001
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",106230,46211,51647,48521,131.0,69.0,6.3,4.0,56,415,66252,35754.0,26050,6974,628802.3909041097,2001
K90-K93 Other diseases of the digestive system,49580,36273,35306,9206,49.0,27.0,7.0,3.0,58,2635,26524,15706.0,24293,10686,240036.3832191781,2001
L20-L30 Dermatitis and eczema,10691,5723,5623,3814,30.0,13.0,6.2,4.0,35,3829,4477,1651.0,1679,2942,46584.61260273973,2001
L40-L45 Papulosquamous disorders (including Psoriasis),13950,7381,1334,7510,29.0,6.0,13.6,11.0,48,438,9814,3376.0,1087,9583,64079.772041095894,2001
L50-L54 Urticaria and erythems,4350,2298,3780,358,38.0,13.0,3.3,1.0,27,2059,1959,413.0,328,295,13242.277013698631,2001
"L00-L14, L55-L99 Other infections and disorders of the skin",221708,121011,84724,124996,79.0,45.0,8.1,3.0,47,19382,134543,43080.0,43266,110048,866300.0138493151,2001
M00-M25 Arthropathies,303324,139218,34303,248963,188.0,130.0,7.4,5.0,55,12123,148548,93770.0,59402,109415,1413435.6973972605,2001
M30-M36 Systemic connective tissue disorders,13120,3898,4025,5802,27.0,10.0,9.7,5.0,51,949,7810,3674.0,2348,5199,75416.7574520548,2001
M40-M54 Dorsopathies,142523,63176,30809,84971,88.0,50.0,7.3,4.0,53,2117,92570,32802.0,21955,81401,435785.53938356164,2001
M60-M79 Soft tissue disorders,124708,59915,43319,72880,142.0,88.0,2.9,1.0,52,5075,74460,32126.0,19334,50651,215275.92739726027,2001
M80-M94 Osteopathies and chondropathies,40853,19319,10860,22322,105.0,50.0,9.6,4.0,51,4536,19278,9093.0,11275,14649,243695.40924657538,2001
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,3878,2053,454,3100,208.0,156.0,6.9,2.0,43,96,2932,524.0,456,820,19819.585205479452,2001
"N00-N08, N10-N16 Diseases of the kidney",26718,14279,13512,9297,58.0,32.0,6.2,4.0,44,4037,16368,6339.0,4247,5418,131169.14634246574,2001
N17-N19 Renal failure,55695,40525,16589,8557,28.0,10.0,11.5,4.0,60,2508,22065,23830.0,20129,24600,325834.8798082192,2001
N20-N23 Urolithiasis,50483,39308,20468,24659,49.0,27.0,3.4,2.0,50,426,38255,12516.0,4274,18310,107643.7853150685,2001
N25-N29 Other disorders of kidney & ureter,3562,2173,926,2020,52.0,26.0,6.7,3.0,49,516,1769,1142.0,603,931,16671.341616438356,2001
N30-N39 Other diseases of the urinary system,156440,73374,56917,80731,93.0,54.0,8.5,4.0,57,13228,60900,41821.0,59115,63458,769328.4544520547,2001
N40-N51 Diseases of male genital organs,113854,118196,21623,83910,107.0,62.0,3.5,2.0,49,21574,40759,34133.0,21581,56686,199407.37397260274,2001
N60-N64 Disorders of breast,28831,2888,3179,24468,78.0,25.0,2.3,2.0,44,344,24166,3524.0,1146,14504,32773.59649315069,2001
